epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,3436.53,0.69287,0.36077,0.96502,0.99359,0.9747,0.99047,0.74403,1.06022,0.38283,1.10822,0.0081784,0.0081784,0.0081784
94,3473.71,0.68717,0.36007,0.95426,0.99187,0.96541,0.98931,0.74157,1.04416,0.39028,1.09741,0.0081586,0.0081586,0.0081586
95,3511.34,0.69184,0.35285,0.96857,0.99354,0.96795,0.98938,0.75502,1.03543,0.37465,1.09757,0.0081388,0.0081388,0.0081388
96,3548.29,0.68306,0.35356,0.95096,0.99356,0.96978,0.99044,0.75243,1.03964,0.37041,1.09928,0.008119,0.008119,0.008119
97,3585.37,0.70348,0.35452,0.961,0.98956,0.97484,0.99144,0.74359,1.06446,0.3777,1.11364,0.0080992,0.0080992,0.0080992
98,3622.88,0.6873,0.34912,0.95442,0.99312,0.97484,0.99134,0.75033,1.04287,0.3744,1.08952,0.0080794,0.0080794,0.0080794
99,3659.99,0.67225,0.34552,0.95139,0.99354,0.96772,0.98981,0.74881,1.0384,0.37425,1.09109,0.0080596,0.0080596,0.0080596
100,3697.54,0.68333,0.35574,0.96403,0.9867,0.97484,0.99245,0.757,1.04216,0.36932,1.10275,0.0080398,0.0080398,0.0080398
101,3734.45,0.67638,0.35233,0.95586,0.99029,0.97484,0.98823,0.74609,1.04382,0.39066,1.09594,0.00802,0.00802,0.00802
102,3781.79,0.68285,0.34724,0.95654,0.9936,0.97606,0.9916,0.73898,1.06309,0.3794,1.11375,0.0080002,0.0080002,0.0080002
103,3820.77,0.68195,0.35175,0.95509,0.99343,0.96855,0.98865,0.74205,1.05094,0.38259,1.09743,0.0079804,0.0079804,0.0079804
104,3856.83,0.68457,0.35428,0.95663,0.98969,0.97484,0.99067,0.74916,1.0417,0.38437,1.09364,0.0079606,0.0079606,0.0079606
105,3893.06,0.66994,0.34581,0.95318,0.99344,0.9717,0.99141,0.75152,1.05549,0.3727,1.09429,0.0079408,0.0079408,0.0079408
106,3931.85,0.68892,0.35119,0.95716,0.99356,0.97048,0.99049,0.74885,1.05585,0.378,1.09617,0.007921,0.007921,0.007921
107,3969.21,0.66781,0.34954,0.95099,0.99332,0.9717,0.98948,0.74361,1.05511,0.37588,1.0972,0.0079012,0.0079012,0.0079012
108,4006.76,0.67843,0.34916,0.95871,0.99041,0.97429,0.99078,0.75214,1.03495,0.38173,1.09284,0.0078814,0.0078814,0.0078814
109,4043.94,0.67747,0.35395,0.95614,0.99325,0.96855,0.99034,0.75091,1.05105,0.39327,1.09965,0.0078616,0.0078616,0.0078616
110,4081.55,0.68044,0.34959,0.95542,0.98729,0.97734,0.9917,0.74522,1.04263,0.37166,1.09187,0.0078418,0.0078418,0.0078418
111,4118.81,0.66591,0.34348,0.95554,0.98737,0.9717,0.99127,0.74346,1.06289,0.37435,1.11034,0.007822,0.007822,0.007822
